代码,日期,收盘,行业名称,日涨跌幅,市场环境,沪深300涨跌幅,超额收益,行业分组
801170,2021-02-02,2337.91,交通运输,-0.0063919760300898965,震荡期,0.015402255739021653,-0.02179423176911155,防御类
801170,2021-02-03,2302.93,交通运输,-0.014962081517252646,震荡期,-0.0028886991891791114,-0.012073382328073534,防御类
801170,2021-02-04,2274.43,交通运输,-0.012375538987290158,震荡期,-0.0020515200810324874,-0.01032401890625767,防御类
801170,2021-02-05,2278.66,交通运输,0.0018598066328705531,震荡期,0.0017292820465228953,0.00013052458634765784,防御类
801170,2021-02-08,2292.42,交通运输,0.006038636742647041,震荡期,0.014798809646690891,-0.00876017290404385,防御类
801170,2021-02-09,2321.47,交通运输,0.012672197939295415,震荡期,0.02186838784436218,-0.009196189905066765,防御类
801170,2021-02-10,2365.14,交通运输,0.018811356597328466,震荡期,0.021361881732248955,-0.0025505251349204894,防御类
801170,2021-02-18,2417.69,交通运输,0.022218557886636736,上涨期,-0.006773399332853369,0.028991957219490105,防御类
801170,2021-02-19,2456.66,交通运输,0.016118691809123398,上涨期,0.0018135071175082729,0.014305184691615125,防御类
801170,2021-02-22,2440.61,交通运输,-0.006533260605863123,震荡期,-0.03140923389149586,0.024875973285632735,防御类
801170,2021-02-23,2450.15,交通运输,0.003908858850861119,震荡期,-0.0031559673151481116,0.00706482616600923,防御类
801170,2021-02-24,2422.64,交通运输,-0.01122788400710173,震荡期,-0.02546746508932063,0.0142395810822189,防御类
801170,2021-02-25,2444.34,交通运输,0.008957170689826155,震荡期,0.005883144817683261,0.0030740258721428937,防御类
801170,2021-02-26,2404.72,交通运输,-0.016208874379178173,震荡期,-0.02427929276917795,0.008070418389999778,防御类
801170,2021-03-01,2416.59,交通运输,0.004936125619614984,震荡期,0.015369434756399958,-0.010433309136784974,防御类
801170,2021-03-02,2381.56,交通运输,-0.014495632275230874,震荡期,-0.012761903777674055,-0.001733728497556819,防御类
801170,2021-03-03,2415.13,交通运输,0.014095802751137976,震荡期,0.019175718694563804,-0.005079915943425828,防御类
801170,2021-03-04,2389.18,交通运输,-0.010744763221855691,震荡期,-0.03145640128146121,0.02071163805960552,防御类
801170,2021-03-05,2385.7,交通运输,-0.0014565666881524164,震荡期,-0.003391591957590534,0.0019350252694381176,防御类
801170,2021-03-08,2335.37,交通运输,-0.021096533512176663,下跌期,-0.03472887795764845,0.013632344445471789,防御类
801170,2021-03-09,2342.48,交通运输,0.0030444854562661217,下跌期,-0.021461705404993037,0.02450619086125916,防御类
801170,2021-03-10,2327.03,交通运输,-0.006595573921655551,下跌期,0.0065606531001112245,-0.013156227021766775,防御类
801170,2021-03-11,2372.19,交通运输,0.019406711559369683,下跌期,0.02490281020990448,-0.0054960986505347975,防御类
801170,2021-03-12,2388.34,交通运输,0.006808055004025926,下跌期,0.003541777491431697,0.003266277512594229,防御类
801170,2021-03-15,2416.47,交通运输,0.011778055050788216,下跌期,-0.021536501683999565,0.03331455673478778,防御类
801170,2021-03-16,2446.67,交通运输,0.01249756876766539,下跌期,0.008701741063130486,0.0037958277045349043,防御类
801170,2021-03-17,2452.77,交通运输,0.0024931846141897918,下跌期,0.004232027565666652,-0.00173884295147686,防御类
801170,2021-03-18,2446.1,交通运输,-0.0027193744215723292,下跌期,0.008020219343490842,-0.010739593765063171,防御类
801170,2021-03-19,2401.89,交通运输,-0.018073668288295708,下跌期,-0.026192741485030036,0.008119073196734328,防御类
801170,2021-03-22,2433.49,交通运输,0.013156306075632118,下跌期,0.009998020806891494,0.0031582852687406238,防御类
801170,2021-03-23,2403.27,交通运输,-0.012418378542751296,下跌期,-0.009472920726922962,-0.002945457815828334,防御类
801170,2021-03-24,2342.69,交通运输,-0.025207321690862816,下跌期,-0.016082460314386537,-0.009124861376476279,防御类
801170,2021-03-25,2347.2,交通运输,0.0019251373421151907,下跌期,-0.0004743658805544948,0.0023995032226696855,防御类
801170,2021-03-26,2384.34,交通运输,0.015823108384458218,下跌期,0.022662431209169887,-0.006839322824711669,防御类
801170,2021-03-29,2390.48,交通运输,0.002575136096361952,下跌期,0.0017639971496570261,0.0008111389467049257,防御类
